id,fk_ns,term,fk_canonic,fk_source,is_canonic,is_cult,is_suspect,created,jinfo
212,4,ac,1,{-50},f,t,f,2020-10-01,
87,4,ac.,1,{-50},f,t,f,2020-10-01,
213,4,acl,2,{-50},f,t,f,2020-10-01,
88,4,acl.,2,{-50},f,t,f,2020-10-01,
214,4,ad,3,{-50},f,t,f,2020-10-01,
89,4,ad.,3,{-50},f,t,f,2020-10-01,
215,4,adut,3,{-50},f,f,t,2020-10-01,
90,4,adut.,3,{-50},f,f,t,2020-10-01,
216,4,al,4,{-50},f,t,f,2020-10-01,
91,4,al.,4,{-50},f,t,f,2020-10-01,
217,4,alam,4,{-50},f,f,t,2020-10-01,
92,4,alam.,4,{-50},f,f,t,2020-10-01,
218,4,amd,16,{-50},f,f,t,2020-10-01,
108,4,amd.,16,{-50},f,f,t,2020-10-01,
219,4,ame,17,{-50},f,f,t,2020-10-01,
110,4,ame.,17,{-50},f,f,t,2020-10-01,
220,4,an,7,{-50},f,t,f,2020-10-01,
94,4,an.,7,{-50},f,t,f,2020-10-01,
221,4,ant,9,{-50},f,t,f,2020-10-01,
96,4,ant.,9,{-50},f,t,f,2020-10-01,
95,4,an. v.,8,{-50},f,t,f,2020-10-01,
222,4,arr,10,{-50},f,t,f,2020-10-01,
97,4,arr.,10,{-50},f,t,f,2020-10-01,
223,4,art,11,{-50},f,t,f,2020-10-01,
98,4,art.,11,{-50},f,t,f,2020-10-01,
224,4,at,6,{-50},f,t,f,2020-10-01,
93,4,at.,6,{-50},f,t,f,2020-10-01,
225,4,atl,12,{-50},f,t,f,2020-10-01,
99,4,atl.,12,{-50},f,t,f,2020-10-01,
226,4,av,13,{-50},f,t,f,2020-10-01,
100,4,av.,13,{-50},f,t,f,2020-10-01,
227,4,avc,14,{-50},f,f,t,2020-10-01,
105,4,avc.,14,{-50},f,f,t,2020-10-01,
228,4,av-cont,14,{-50},f,t,f,2020-10-01,
104,4,av-cont.,14,{-50},f,t,f,2020-10-01,
229,4,ave,13,{-50},f,f,t,2020-10-01,
101,4,ave.,13,{-50},f,f,t,2020-10-01,
230,4,avm,15,{-50},f,f,t,2020-10-01,
107,4,avm.,15,{-50},f,f,t,2020-10-01,
106,4,av. marg.,15,{-50},f,t,f,2020-10-01,
109,4,av. marg. dir.,16,{-50},f,t,f,2020-10-01,
111,4,av. marg. esq.,17,{-50},f,t,f,2020-10-01,
231,4,avn,13,{-50},f,f,t,2020-10-01,
102,4,avn.,13,{-50},f,f,t,2020-10-01,
232,4,avnd,13,{-50},f,f,t,2020-10-01,
103,4,avnd.,13,{-50},f,f,t,2020-10-01,
233,4,avv,18,{-50},f,t,f,2020-10-01,
112,4,avv.,18,{-50},f,t,f,2020-10-01,
234,4,bc,20,{-50},f,t,f,2020-10-01,
114,4,bc.,20,{-50},f,t,f,2020-10-01,
235,4,blo,19,{-50},f,t,f,2020-10-01,
113,4,blo.,19,{-50},f,t,f,2020-10-01,
14979,4,blv,14910,{-50},f,t,f,2020-10-04,
14980,4,blv.,14910,{-50},f,t,f,2020-10-04,
14927,4,bv,14910,{5524},f,t,f,2020-10-04,
14952,4,bv.,14910,{5524},f,t,f,2020-10-04,
14928,4,ca,14911,{5524},f,t,f,2020-10-04,
14953,4,ca.,14911,{5524},f,t,f,2020-10-04,
236,4,cam,21,{-50},f,t,f,2020-10-01,
115,4,cam.,21,{-50},f,t,f,2020-10-01,
14929,4,cicl,14912,{5524},f,t,f,2020-10-04,
14954,4,cicl.,14912,{5524},f,t,f,2020-10-04,
237,4,cor,23,{-50},f,t,f,2020-10-01,
117,4,cor.,23,{-50},f,t,f,2020-10-01,
238,4,ctn,22,{-50},f,t,f,2020-10-01,
116,4,ctn.,22,{-50},f,t,f,2020-10-01,
239,4,desv,25,{-50},f,t,f,2020-10-01,
119,4,desv.,25,{-50},f,t,f,2020-10-01,
14930,4,dir,14913,{5524},f,t,f,2020-10-04,
14955,4,dir.,14913,{5524},f,t,f,2020-10-04,
240,4,dsc,24,{-50},f,t,f,2020-10-01,
118,4,dsc.,24,{-50},f,t,f,2020-10-01,
241,4,dsv,25,{-50},f,f,t,2020-10-01,
120,4,dsv.,25,{-50},f,f,t,2020-10-01,
242,4,eim,34,{-50},f,t,f,2020-10-01,
132,4,eim.,34,{-50},f,t,f,2020-10-01,
243,4,ent,26,{-50},f,f,t,2020-10-01,
122,4,ent.,26,{-50},f,f,t,2020-10-01,
244,4,ent-part,26,{-50},f,t,f,2020-10-01,
121,4,ent-part.,26,{-50},f,t,f,2020-10-01,
245,4,eq,27,{-50},f,t,f,2020-10-01,
123,4,eq.,27,{-50},f,t,f,2020-10-01,
246,4,esc,28,{-50},f,f,t,2020-10-01,
124,4,esc.,28,{-50},f,f,t,2020-10-01,
247,4,esd,29,{-50},f,t,f,2020-10-01,
125,4,esd.,29,{-50},f,t,f,2020-10-01,
248,4,ese,33,{-50},f,f,t,2020-10-01,
130,4,ese.,33,{-50},f,f,t,2020-10-01,
249,4,esi,36,{-50},f,f,t,2020-10-01,
135,4,esi.,36,{-50},f,f,t,2020-10-01,
250,4,esl,31,{-50},f,t,f,2020-10-01,
128,4,esl.,31,{-50},f,t,f,2020-10-01,
251,4,esm,35,{-50},f,f,t,2020-10-01,
133,4,esm.,35,{-50},f,f,t,2020-10-01,
14931,4,esp,14914,{5524},f,t,f,2020-10-04,
14956,4,esp.,14914,{5524},f,t,f,2020-10-04,
252,4,ess,32,{-50},f,t,f,2020-10-01,
129,4,ess.,32,{-50},f,t,f,2020-10-01,
253,4,est,30,{-50},f,t,f,2020-10-01,
126,4,est.,30,{-50},f,t,f,2020-10-01,
254,4,estr,30,{-50},f,f,t,2020-10-01,
127,4,estr.,30,{-50},f,f,t,2020-10-01,
131,4,estr. est.,33,{-50},f,t,f,2020-10-01,
134,4,estr. mun.,35,{-50},f,t,f,2020-10-01,
136,4,estr. vic.,36,{-50},f,t,f,2020-10-01,
14932,4,gal,14915,{5524},f,t,f,2020-10-04,
14957,4,gal.,14915,{5524},f,t,f,2020-10-04,
14933,4,i,14916,{5524},f,t,f,2020-10-04,
14958,4,i.,14916,{5524},f,t,f,2020-10-04,
14934,4,jar,14917,{5524},f,t,f,2020-10-04,
14959,4,jar.,14917,{5524},f,t,f,2020-10-04,
14935,4,lago,14918,{5524},f,t,f,2020-10-04,
14960,4,lago.,14918,{5524},f,t,f,2020-10-04,
255,4,ld,37,{-50},f,t,f,2020-10-01,
137,4,ld.,37,{-50},f,t,f,2020-10-01,
14936,4,le,14919,{5524},f,t,f,2020-10-04,
14961,4,le.,14919,{5524},f,t,f,2020-10-04,
14937,4,lg,38,{5524},f,t,f,2020-10-04,
14962,4,lg.,38,{5524},f,t,f,2020-10-04,
256,4,ln,39,{-50},f,t,f,2020-10-01,
139,4,ln.,39,{-50},f,t,f,2020-10-01,
257,4,lrg,38,{-50},f,t,f,2020-10-01,
138,4,lrg.,38,{-50},f,t,f,2020-10-01,
14938,4,mer,14920,{5524},f,t,f,2020-10-04,
14963,4,mer.,14920,{5524},f,t,f,2020-10-04,
258,4,par,40,{-50},f,t,f,2020-10-01,
140,4,par.,40,{-50},f,t,f,2020-10-01,
259,4,pas,42,{-50},f,t,f,2020-10-01,
143,4,pas.,42,{-50},f,t,f,2020-10-01,
260,4,pass,41,{-50},f,f,t,2020-10-01,
141,4,pass.,41,{-50},f,f,t,2020-10-01,
261,4,pç,44,{-50},f,t,f,2020-10-01,
146,4,pç.,44,{-50},f,t,f,2020-10-01,
14939,4,pca,44,{5524},f,t,f,2020-10-04,
14964,4,pca.,44,{5524},f,t,f,2020-10-04,
262,4,pça,44,{-50},f,f,t,2020-10-01,
147,4,pça.,44,{-50},f,f,t,2020-10-01,
263,4,pnte,43,{-50},f,f,t,2020-10-01,
144,4,pnte.,43,{-50},f,f,t,2020-10-01,
264,4,prç,44,{-50},f,f,t,2020-10-01,
148,4,prç.,44,{-50},f,f,t,2020-10-01,
265,4,prl,45,{-50},f,t,f,2020-10-01,
149,4,prl.,45,{-50},f,t,f,2020-10-01,
266,4,prolong,45,{-50},f,f,t,2020-10-01,
150,4,prolong.,45,{-50},f,f,t,2020-10-01,
14940,4,prq,14921,{5524},f,t,f,2020-10-04,
14965,4,prq.,14921,{5524},f,t,f,2020-10-04,
267,4,psg,41,{-50},f,t,f,2020-10-01,
142,4,psg.,41,{-50},f,t,f,2020-10-01,
14941,4,psl,14922,{5524},f,t,f,2020-10-04,
14966,4,psl.,14922,{5524},f,t,f,2020-10-04,
268,4,pte,43,{-50},f,t,f,2020-10-01,
145,4,pte.,43,{-50},f,t,f,2020-10-01,
269,4,r,59,{-50},f,t,f,2020-10-01,
169,4,r.,59,{-50},f,t,f,2020-10-01,
270,4,ram,46,{-50},f,t,f,2020-10-01,
151,4,ram.,46,{-50},f,t,f,2020-10-01,
271,4,rch,50,{-50},f,t,f,2020-10-01,
155,4,rch.,50,{-50},f,t,f,2020-10-01,
272,4,ret,48,{-50},f,t,f,2020-10-01,
153,4,ret.,48,{-50},f,t,f,2020-10-01,
273,4,rib,51,{-50},f,t,f,2020-10-01,
156,4,rib.,51,{-50},f,t,f,2020-10-01,
14942,4,rio,14923,{5524},f,t,f,2020-10-04,
14967,4,rio.,14923,{5524},f,t,f,2020-10-04,
274,4,r l,60,{-50},f,f,t,2020-10-01,
170,4,r l.,60,{-50},f,f,t,2020-10-01,
275,4,rla,64,{-50},f,t,f,2020-10-01,
176,4,rla.,64,{-50},f,t,f,2020-10-01,
276,4,r-lig,60,{-50},f,t,f,2020-10-01,
171,4,r-lig.,60,{-50},f,t,f,2020-10-01,
277,4,rmp,47,{-50},f,t,f,2020-10-01,
152,4,rmp.,47,{-50},f,t,f,2020-10-01,
278,4,roa,52,{-50},f,f,t,2020-10-01,
157,4,roa.,52,{-50},f,f,t,2020-10-01,
279,4,rod,53,{-50},f,t,f,2020-10-01,
160,4,rod.,53,{-50},f,t,f,2020-10-01,
280,4,rod-an,52,{-50},f,t,f,2020-10-01,
158,4,rod-an.,52,{-50},f,t,f,2020-10-01,
162,4,rod. est.,54,{-50},f,t,f,2020-10-01,
163,4,rod. mun.,55,{-50},f,t,f,2020-10-01,
281,4,rodv,53,{-50},f,f,t,2020-10-01,
161,4,rodv.,53,{-50},f,f,t,2020-10-01,
164,4,rod. vic.,56,{-50},f,t,f,2020-10-01,
165,4,rodv. vic.,56,{-50},f,f,t,2020-10-01,
282,4,rot,58,{-50},f,t,f,2020-10-01,
168,4,rot.,58,{-50},f,t,f,2020-10-01,
283,4,r p,62,{-50},f,t,f,2020-10-01,
174,4,r p.,62,{-50},f,t,f,2020-10-01,
14943,4,rp,62,{5524},f,t,f,2020-10-04,
14968,4,rp.,62,{5524},f,t,f,2020-10-04,
284,4,rpe,61,{-50},f,f,t,2020-10-01,
173,4,rpe.,61,{-50},f,f,t,2020-10-01,
285,4,r-ped,61,{-50},f,t,f,2020-10-01,
172,4,r-ped.,61,{-50},f,t,f,2020-10-01,
14944,4,rtl,58,{5524},f,t,f,2020-10-04,
14969,4,rtl.,58,{5524},f,t,f,2020-10-04,
286,4,rtn,49,{-50},f,t,f,2020-10-01,
154,4,rtn.,49,{-50},f,t,f,2020-10-01,
287,4,rtt,57,{-50},f,t,f,2020-10-01,
167,4,rtt.,57,{-50},f,t,f,2020-10-01,
288,4,r v,63,{-50},f,f,t,2020-10-01,
175,4,r v.,63,{-50},f,f,t,2020-10-01,
289,4,serv,66,{-50},f,t,f,2020-10-01,
177,4,serv.,66,{-50},f,t,f,2020-10-01,
290,4,srv,66,{-50},f,f,t,2020-10-01,
178,4,srv.,66,{-50},f,f,t,2020-10-01,
291,4,sub,67,{-50},f,t,f,2020-10-01,
179,4,sub.,67,{-50},f,t,f,2020-10-01,
14945,4,term,14924,{5524},f,t,f,2020-10-04,
14970,4,term.,14924,{5524},f,t,f,2020-10-04,
292,4,tr,68,{-50},f,f,t,2020-10-01,
180,4,tr.,68,{-50},f,f,t,2020-10-01,
293,4,tra,68,{-50},f,f,t,2020-10-01,
181,4,tra.,68,{-50},f,f,t,2020-10-01,
14946,4,trav,68,{5524},f,t,f,2020-10-04,
14971,4,trav.,68,{5524},f,t,f,2020-10-04,
294,4,trv,68,{-50},f,t,f,2020-10-01,
182,4,trv.,68,{-50},f,t,f,2020-10-01,
14947,4,trvs,14925,{5524},f,t,f,2020-10-04,
14972,4,trvs.,14925,{5524},f,t,f,2020-10-04,
295,4,tú,71,{-50},f,t,f,2020-10-01,
188,4,tú.,71,{-50},f,t,f,2020-10-01,
296,4,tun,71,{-50},f,f,t,2020-10-01,
189,4,tun.,71,{-50},f,f,t,2020-10-01,
297,4,tv,68,{-50},f,f,t,2020-10-01,
183,4,tv.,68,{-50},f,f,t,2020-10-01,
298,4,tvp,69,{-50},f,f,t,2020-10-01,
186,4,tvp.,69,{-50},f,f,t,2020-10-01,
299,4,tv-part,69,{-50},f,t,f,2020-10-01,
184,4,tv-part.,69,{-50},f,t,f,2020-10-01,
185,4,tv. part.,69,{-50},f,f,t,2020-10-01,
300,4,tvv,70,{-50},f,f,t,2020-10-01,
187,4,tvv.,70,{-50},f,f,t,2020-10-01,
301,4,v,75,{-50},f,t,f,2020-10-01,
195,4,v.,75,{-50},f,t,f,2020-10-01,
14948,4,va,85,{5524},f,t,f,2020-10-04,
14973,4,va.,85,{5524},f,t,f,2020-10-04,
302,4,v-ac,78,{-50},f,t,f,2020-10-01,
198,4,v-ac.,78,{-50},f,t,f,2020-10-01,
303,4,vac,78,{-50},f,f,t,2020-10-01,
199,4,vac.,78,{-50},f,f,t,2020-10-01,
304,4,val,72,{-50},f,f,t,2020-10-01,
190,4,val.,72,{-50},f,f,t,2020-10-01,
305,4,v c,76,{-50},f,f,t,2020-10-01,
196,4,v c.,76,{-50},f,f,t,2020-10-01,
306,4,vco,77,{-50},f,t,f,2020-10-01,
197,4,vco.,77,{-50},f,t,f,2020-10-01,
307,4,vd,80,{-50},f,t,f,2020-10-01,
208,4,vd.,80,{-50},f,t,f,2020-10-01,
308,4,vda,74,{-50},f,f,t,2020-10-01,
193,4,vda.,74,{-50},f,f,t,2020-10-01,
14949,4,vdt,80,{5524},f,t,f,2020-10-04,
14974,4,vdt.,80,{5524},f,t,f,2020-10-04,
309,4,v-e,82,{-50},f,f,t,2020-10-01,
204,4,v-e.,82,{-50},f,f,t,2020-10-01,
310,4,ve,85,{-50},f,f,t,2020-10-01,
210,4,ve.,85,{-50},f,f,t,2020-10-01,
311,4,ver,74,{-50},f,t,f,2020-10-01,
194,4,ver.,74,{-50},f,t,f,2020-10-01,
312,4,vev,81,{-50},f,f,t,2020-10-01,
203,4,vev.,81,{-50},f,f,t,2020-10-01,
313,4,v-evd,81,{-50},f,t,f,2020-10-01,
202,4,v-evd.,81,{-50},f,t,f,2020-10-01,
314,4,v-exp,82,{-50},f,t,f,2020-10-01,
205,4,v-exp.,82,{-50},f,t,f,2020-10-01,
315,4,viad,86,{-50},f,f,t,2020-10-01,
209,4,viad.,86,{-50},f,f,t,2020-10-01,
316,4,v l,84,{-50},f,f,t,2020-10-01,
207,4,v l.,84,{-50},f,f,t,2020-10-01,
317,4,vla,85,{-50},f,t,f,2020-10-01,
211,4,vla.,85,{-50},f,t,f,2020-10-01,
318,4,vlt,83,{-50},f,t,f,2020-10-01,
206,4,vlt.,83,{-50},f,t,f,2020-10-01,
14950,4,vp,79,{5524},f,t,f,2020-10-04,
14975,4,vp.,79,{5524},f,t,f,2020-10-04,
319,4,vpe,79,{-50},f,f,t,2020-10-01,
201,4,vpe.,79,{-50},f,f,t,2020-10-01,
320,4,v-ped,79,{-50},f,t,f,2020-10-01,
200,4,v-ped.,79,{-50},f,t,f,2020-10-01,
321,4,vrt,73,{-50},f,f,t,2020-10-01,
191,4,vrt.,73,{-50},f,f,t,2020-10-01,
322,4,vrte,73,{-50},f,t,f,2020-10-01,
192,4,vrte.,73,{-50},f,t,f,2020-10-01,
14951,4,vtc,14926,{5524},f,t,f,2020-10-04,
14976,4,vtc.,14926,{5524},f,t,f,2020-10-04,
